Respondent_ID,Age_Group,Region,Question,Response,Date
1,36-50,South,Favorite Product,Product C,2024-01-01
2,18-25,South,Favorite Product,Product C,2024-01-02
3,36-50,East,Favorite Product,Product A,2024-01-03
4,36-50,South,Favorite Product,Product A,2024-01-04
5,18-25,West,Favorite Product,Product B,2024-01-05
6,18-25,North,Favorite Product,Product B,2024-01-06
7,36-50,West,Favorite Product,Product A,2024-01-07
8,26-35,North,Favorite Product,Product B,2024-01-08
9,36-50,North,Favorite Product,Product A,2024-01-09
10,36-50,West,Favorite Product,Product B,2024-01-10
11,36-50,West,Favorite Product,Product A,2024-01-11
12,36-50,West,Favorite Product,Product A,2024-01-12
13,18-25,West,Favorite Product,Product A,2024-01-13
14,36-50,East,Favorite Product,Product B,2024-01-14
15,26-35,South,Favorite Product,Product B,2024-01-15
16,18-25,North,Favorite Product,Product B,2024-01-16
17,26-35,West,Favorite Product,Product A,2024-01-17
18,26-35,West,Favorite Product,Product B,2024-01-18
19,26-35,West,Favorite Product,Product B,2024-01-19
20,26-35,East,Favorite Product,Product A,2024-01-20
21,18-25,West,Favorite Product,Product C,2024-01-21
22,18-25,West,Favorite Product,Product A,2024-01-22
23,26-35,West,Favorite Product,Product B,2024-01-23
24,26-35,South,Favorite Product,Product A,2024-01-24
25,18-25,East,Favorite Product,Product C,2024-01-25
26,18-25,West,Favorite Product,Product A,2024-01-26
27,18-25,North,Favorite Product,Product B,2024-01-27
28,36-50,North,Favorite Product,Product C,2024-01-28
29,36-50,North,Favorite Product,Product B,2024-01-29
30,36-50,East,Favorite Product,Product C,2024-01-30
31,26-35,East,Favorite Product,Product C,2024-01-31
32,36-50,North,Favorite Product,Product A,2024-02-01
33,26-35,West,Favorite Product,Product A,2024-02-02
34,26-35,East,Favorite Product,Product B,2024-02-03
35,36-50,North,Favorite Product,Product A,2024-02-04
36,26-35,North,Favorite Product,Product A,2024-02-05
37,36-50,West,Favorite Product,Product C,2024-02-06
38,36-50,South,Favorite Product,Product A,2024-02-07
39,18-25,East,Favorite Product,Product C,2024-02-08
40,36-50,West,Favorite Product,Product C,2024-02-09
41,18-25,North,Favorite Product,Product C,2024-02-10
42,36-50,North,Favorite Product,Product B,2024-02-11
43,36-50,West,Favorite Product,Product B,2024-02-12
44,18-25,East,Favorite Product,Product B,2024-02-13
45,18-25,South,Favorite Product,Product C,2024-02-14
46,36-50,South,Favorite Product,Product B,2024-02-15
47,26-35,North,Favorite Product,Product B,2024-02-16
48,18-25,East,Favorite Product,Product A,2024-02-17
